course_id,prereq_id
BIOL545,BIOL240
BIOL546,BIOL205
BIOL546,BIOL103
BIOL546,BIOL104
BIOL546,BIOL240
BIOL547,BIOL202
BIOL547,BIOL103
BIOL547,BIOL104
BIOL547,BIOL220
BIOL547,BIOL240
BIOL551,BIOL103
BIOL551,BIOL104
BIOL551,PHYS114
BIOL551,PHYS118
BIOL552,BIOL103
BIOL552,BIOL104
BIOL552,BIOL278
BIOL553,BIOL201
BIOL553,BIOL202
BIOL553,BIOL103
BIOL553,BIOL104
BIOL553,MATH231
BIOL553,MATH232
BIOL553,STOR120
BIOL553,STOR155
BIOL553,BIOL553L
BIOL553,MATH553L
BIOL553L,BIOL201
BIOL553L,BIOL202
BIOL553L,BIOL103
BIOL553L,BIOL104
BIOL553L,MATH231
BIOL553L,MATH232
BIOL553L,STOR120
BIOL553L,STOR155
BIOL553L,BIOL553
BIOL553L,MATH553
BIOL554,BIOL103
BIOL554,BIOL104
BIOL554,BIOL220
BIOL554,BIOL250
BIOL554,MATH231
BIOL554,COMP110
BIOL554,COMP116
BIOL554,BIOL226
BIOL555,BIOL103
BIOL555,BIOL104
BIOL555,BIOL250
BIOL555,BIOL271
BIOL555,BIOL555L
BIOL555L,BIOL103
BIOL555L,BIOL104
BIOL555L,BIOL250
BIOL555L,BIOL271
BIOL555L,BIOL555
BIOL561,GEOG110
BIOL561,BIOL103
BIOL561,BIOL104
BIOL561,BIOL260
BIOL562,BIOL103
BIOL562,BIOL104
BIOL562,STOR120
BIOL562,STOR155
BIOL563,BIOL103
BIOL563,BIOL104
BIOL563,MATH231
BIOL563,STOR120
BIOL563,STOR155
BIOL565,BIOL103
BIOL565,BIOL104
BIOL565,BIOL250
BIOL565,BIOL260
BIOL567,BIOL103
BIOL567,BIOL104
BIOL567,BIOL250
BIOL567,BIOL260
BIOL568,BIOL201
BIOL568,MATH231
BIOL568,BIOL103
BIOL568,BIOL104
BIOL568,BIOL260
BIOL568,MATH231
BIOL605,BIOL201
BIOL605,BIOL202
BIOL620,BIOL103
BIOL620,BIOL104
BIOL620,BIOL220
BIOL621,BIOL202
BIOL621,BIOL220
BIOL622,BIOL621
BIOL642,BIOL205
BIOL642,BIOL240
BIOL649,BIOL205
BIOL649,BIOL240
BIOL661,BIOL260
BIOL669,BIOL201
BIOL669,BIOL260
BIOL758,BIOL471
BIOL832,BIOL202
BIOL841,BIOL205
BIOL855,BIOL475
BIOL858,BIOL451
BIOL861,STOR155
BMME150,CHEM102
BMME150,MATH383
